w_Seed,w_Series A,w_Series B,w_Series C,n_startups,valor_esperado,mediana,var_5,sortino,prob_3x,prob_perda
0.0,0.2,0.8,0.0,30,74518355.63876368,68472881.60106051,36572830.93165904,10.593211114247895,0.229,0.021
0.0,0.4,0.6,0.0,30,78013949.26658136,68945104.42517292,35087655.461698644,10.499439740552102,0.2695,0.022
0.0,0.0,1.0,0.0,30,72005911.56306708,66844028.30516882,37880478.432609946,10.361012325534304,0.2015,0.0125
0.0,0.6,0.4,0.0,30,81074584.92118013,71561975.42696261,34597346.71539436,10.356744492081695,0.3005,0.024
0.0,0.8,0.2,0.0,30,84211077.62685837,72765319.0043422,33905622.759022,9.32538058340073,0.329,0.031
0.0,0.4,0.4,0.2,30,74944136.4906874,66534241.510051906,34602691.31781204,9.322960185613457,0.2415,0.0265
0.0,0.0,0.8,0.2,30,68936098.78717309,64522853.042873144,36598058.55139482,8.94715482176568,0.1645,0.014
0.0,0.6,0.2,0.2,30,78004772.14528614,68632933.38133736,33893387.003657125,8.841401178455351,0.2745,0.0265
0.0,0.2,0.6,0.2,30,71448542.86286972,65305358.54306981,35468615.325008966,8.728078602555577,0.1995,0.0215
0.0,0.8,0.0,0.2,30,81141264.85096438,69179870.14558657,32700225.45710511,8.69901801755109,0.303,0.036
